name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2025-01-24,0.4,-5.4,-2.4,-1.9,-10.3,-6.2,-13.3,43.6,0,0,0,,0,0.5,38.9,20,288.4,1021.7,11.7,16,129.3,11.2,6,,2025-01-24T07:12:40,2025-01-24T17:04:18,0.85,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-01-25,0,-6,-2.5,-3.5,-10.9,-6.3,-13.5,43,0,0,0,,0,0.5,36.1,19.4,251.1,1025.7,37.8,16,126,10.9,5,,2025-01-25T07:11:55,2025-01-25T17:05:31,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-01-26,6.1,-0.7,2.4,3.1,-4.7,-0.9,-8.9,44.1,0,0,0,,0,0,45,28,264.6,1020.4,45.3,16,75,6.5,4,,2025-01-26T07:11:08,2025-01-26T17:06:44,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-01-27,4.7,-0.3,2.4,2,-5.1,-1.4,-12.1,34.6,0,0,0,,0,0,52.2,25.6,238.7,1013.4,14.4,16,133.3,11.3,6,,2025-01-27T07:10:19,2025-01-27T17:07:58,0.94,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-01-28,5.8,1,3.2,2,-2.4,-0.6,-10.3,36.7,0,0,0,,0,0,60.8,33.7,267.8,1002.8,49.5,16,113.2,9.6,5,,2025-01-28T07:09:28,2025-01-28T17:09:12,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-01-29,11.1,1.3,5.9,11.1,-5.3,2.8,-6.8,40.1,0,0,0,,0,0,68.5,37.2,267.6,1000.2,56.1,16,112.7,9.8,7,,2025-01-29T07:08:35,2025-01-29T17:10:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-01-30,2.7,-3.6,-0.1,2.4,-9.7,-4.5,-13.1,37.3,0,0,0,,0,0,61.8,33.8,293.6,1021.5,19.4,16,138.7,12,6,,2025-01-30T07:07:41,2025-01-30T17:11:40,0.04,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-01-31,8.5,3.1,5.9,7.7,0.2,4.5,2.7,79.8,4.169,100,45.83,rain,0,0,26.3,14.8,224.3,1011.8,87.5,11.4,20.9,1.8,1,,2025-01-31T07:06:45,2025-01-31T17:12:54,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-01,8.8,-4.9,2.1,6.6,-10.5,-2.2,-7.2,54.1,0,0,0,,0,0,47,28,330.9,1017.2,56.5,14.8,123.5,10.5,6,,2025-02-01T07:05:47,2025-02-01T17:14:09,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-02,-0.6,-8.1,-4.4,-0.6,-15,-8.9,-11.1,60.2,2.157,100,20.83,"rain,snow",0,0,37.1,18,42.7,1031.7,55.8,14.4,83.7,7.3,4,,2025-02-02T07:04:47,2025-02-02T17:15:23,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-03,8.7,-0.6,4.3,8.6,-2.4,3,-0.8,70.4,0.468,100,4.17,"rain,snow",0.1,0.1,27.7,14.6,227.4,1017.6,45.8,15.1,100.5,8.6,5,,2025-02-03T07:03:46,2025-02-03T17:16:37,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-04,8.6,0.2,5.5,6.3,-5.4,1.7,-4.6,49.7,0,0,0,,0,0,65.9,40,309.4,1014.7,50,16,147.7,12.9,6,,2025-02-04T07:02:43,2025-02-04T17:17:52,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-05,2.5,-2.5,-0.5,0.5,-9.4,-4.6,-13.4,37.9,0,0,0,,0,0,53.6,27,332.3,1028,49.4,16,131.4,11.5,6,,2025-02-05T07:01:39,2025-02-05T17:19:06,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-06,3.6,-1.2,1.7,1.9,-5.1,-1.5,-1.9,78.2,7.425,100,41.67,"rain,snow",2.8,0.1,35.3,18.9,149.8,1016,99.4,9,16.9,1.4,1,,2025-02-06T07:00:33,2025-02-06T17:20:20,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-07,5.9,-1,3.1,2.1,-4.3,-0.8,-7.7,49.3,0,0,0,,0,0,57.4,30.1,284.1,1014.4,41.6,14,154,13.3,6,,2025-02-07T06:59:25,2025-02-07T17:21:34,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-08,1.7,-3.2,-0.9,1.1,-7.9,-3.5,-11.6,45.9,11.103,100,16.67,"rain,snow",0,0.7,41.4,14.4,324.8,1023.3,59.9,13.9,87.3,7.6,4,,2025-02-08T06:58:16,2025-02-08T17:22:48,0.36,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-09,1.9,-1,0.7,1.9,-4.8,-2.5,-3.9,72.4,4.986,100,25,"rain,snow",5.8,3.5,48.6,25.8,316.5,1016.6,94.9,12.3,54.4,4.6,3,,2025-02-09T06:57:06,2025-02-09T17:24:02,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2025-02-10,3,-0.8,1,1.4,-4.3,-2.2,-10,44.3,0,0,0,,0,0.8,44.2,18.3,310.8,1027.6,45.6,16,149,12.9,7,,2025-02-10T06:55:54,2025-02-10T17:25:16,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
